level,metric_name,dataset,split,label,mean,None
image-level,CORAL,mvtec_bottle+cable+capsule,test,0,9.932434380799382e-10,0
image-level,CORAL,mvtec_bottle+cable+capsule+carpet,test,1,2.5349800589213876e-09,0
image-level,CORAL,mvtec_bottle+cable+capsule+carpet,train,0,2.5879355098346045e-09,0
image-level,CORAL,mvtec_bottle+cable+capsule+carpet,val,0,2.6002664260116326e-09,0
image-level,CORAL,mvtec_bottle+cable+capsule+carpet,test,0,2.8914696137416484e-09,0
patch-level,CORAL,mvtec_carpet,train,0,1.1261039118082294e-08,0
patch-level,CORAL,mvtec_carpet,val,0,1.1332086394588715e-08,0
patch-level,CORAL,mvtec_carpet,test,0,1.2067436431451028e-08,0
patch-level,CORAL,mvtec_carpet,test,1,1.5038195233074702e-08,0
patch-level,CORAL,mvtec_capsule,test,1,6.010788511900955e-08,0
patch-level,CORAL,mvtec_capsule,train,0,6.075458991006144e-08,0
patch-level,CORAL,mvtec_capsule,test,0,6.141473890153293e-08,0
patch-level,CORAL,mvtec_capsule,val,0,6.183361715272894e-08,0
patch-level,CORAL,mvtec_bottle+cable+capsule+carpet,test,1,1.1341842495937726e-07,0
patch-level,CORAL,mvtec_bottle+cable+capsule+carpet,val,0,1.1483528280109568e-07,0
patch-level,CORAL,mvtec_bottle+cable+capsule+carpet,train,0,1.149695412152596e-07,0
patch-level,CORAL,mvtec_bottle,val,0,1.1820758759029105e-07,0
patch-level,CORAL,mvtec_bottle,train,0,1.1928307435482565e-07,0
patch-level,CORAL,mvtec_bottle,test,0,1.195175312744823e-07,0
patch-level,CORAL,mvtec_bottle,test,1,1.2076065225130606e-07,0
patch-level,CORAL,mvtec_bottle+cable+capsule,test,1,1.2346332971446827e-07,0
patch-level,CORAL,mvtec_bottle+cable+capsule+carpet,test,0,1.2626069647581062e-07,0
patch-level,CORAL,mvtec_bottle+cable+capsule,train,0,1.3041732893270818e-07,0
patch-level,CORAL,mvtec_cable,train,0,1.320118282706062e-07,0
patch-level,CORAL,mvtec_bottle+cable+capsule,val,0,1.3220147491210809e-07,0
patch-level,CORAL,mvtec_cable,test,0,1.3246478759754155e-07,0
patch-level,CORAL,mvtec_cable,test,1,1.3285950052477346e-07,0
patch-level,CORAL,mvtec_cable,val,0,1.334154479479821e-07,0
patch-level,CORAL,mvtec_bottle+cable+capsule,test,0,1.3546053951074556e-07,0
patch-level,CORAL,mvtec_bottle+cable,test,0,1.4439704641233675e-07,0
patch-level,CORAL,mvtec_bottle+cable,test,1,1.4551214761127085e-07,0
patch-level,CORAL,mvtec_bottle+cable,train,0,1.476122712773531e-07,0
patch-level,CORAL,mvtec_bottle+cable,val,0,1.4813289764958882e-07,0
patch-level,DBI,mvtec_cable,test,1,0.2771257944934914,0
patch-level,DBI,mvtec_bottle+cable,test,0,0.2853320094270927,0
patch-level,DBI,mvtec_cable,test,0,0.2854193728669275,0
patch-level,DBI,mvtec_cable,val,0,0.2943541477594724,0
patch-level,DBI,mvtec_cable,train,0,0.29459148148409314,0
patch-level,DBI,mvtec_bottle+cable,test,1,0.29917846542898463,0
patch-level,DBI,mvtec_carpet,test,0,0.3098392348309216,0
image-level,DBI,mvtec_bottle,val,0,0.3098690344586835,0
patch-level,DBI,mvtec_carpet,val,0,0.31023873344314623,0
patch-level,DBI,mvtec_bottle+cable+capsule,test,0,0.31459868257020995,0
patch-level,DBI,mvtec_bottle+cable+capsule,test,1,0.31730015222177205,0
patch-level,DBI,mvtec_bottle+cable,train,0,0.32203169357147604,0
image-level,DBI,mvtec_bottle,train,0,0.32549633579696713,0
patch-level,DBI,mvtec_bottle+cable,val,0,0.3283156193577143,0
patch-level,DBI,mvtec_bottle+cable+capsule,val,0,0.3321884566624274,0
patch-level,DBI,mvtec_bottle+cable+capsule,train,0,0.33821445626197916,0
patch-level,DBI,mvtec_carpet,test,1,0.35387562683983365,0
patch-level,DBI,mvtec_bottle,test,1,0.35604019488571936,0
patch-level,DBI,mvtec_bottle+cable+capsule+carpet,test,0,0.3615200634108605,0
patch-level,DBI,mvtec_carpet,train,0,0.36797159943449675,0
patch-level,DBI,mvtec_bottle,test,0,0.37299349818737415,0
patch-level,DBI,mvtec_bottle,val,0,0.3738039285976652,0
patch-level,DBI,mvtec_bottle,train,0,0.3768911470925705,0
patch-level,DBI,mvtec_bottle+cable+capsule+carpet,test,1,0.37860508876754884,0
image-level,DBI,mvtec_cable,test,1,0.37991480231865377,0
patch-level,DBI,mvtec_bottle+cable+capsule+carpet,val,0,0.38296691405817246,0
patch-level,DBI,mvtec_bottle+cable+capsule+carpet,train,0,0.38416119286796896,0
image-level,DBI,mvtec_cable,val,0,0.42966960194879966,0
image-level,DBI,mvtec_cable,train,0,0.4321933475967866,0
image-level,DBI,mvtec_capsule,test,1,0.45476385256067775,0
patch-level,DBI,mvtec_capsule,test,1,0.4703101657824873,0
patch-level,DBI,mvtec_capsule,test,0,0.47359954417231453,0
patch-level,DBI,mvtec_capsule,train,0,0.47570615950374406,0
patch-level,DBI,mvtec_capsule,val,0,0.48369658133100285,0
image-level,DBI,mvtec_capsule,val,0,0.48734475145526535,0
image-level,DBI,mvtec_cable,test,0,0.5084799113672492,0
image-level,DBI,mvtec_carpet,test,1,0.5170379707190894,0
image-level,DBI,mvtec_capsule,train,0,0.5453821108368182,0
image-level,DBI,mvtec_bottle,test,1,0.5775133910005014,0
image-level,DBI,mvtec_carpet,val,0,0.5841553015307737,0
image-level,DBI,mvtec_carpet,train,0,0.594292579159837,0
image-level,DBI,mvtec_bottle+cable,train,0,0.6402927305728814,0
image-level,DBI,mvtec_bottle+cable,val,0,0.6488513021634432,0
image-level,DBI,mvtec_bottle,test,0,0.6688847955859728,0
image-level,DBI,mvtec_capsule,test,0,0.6844315622751507,0
image-level,DBI,mvtec_carpet,test,0,0.6851323451905426,0
image-level,DBI,mvtec_bottle+cable,test,1,0.75570658932978,0
image-level,DBI,mvtec_bottle+cable,test,0,0.8289159872290603,0
image-level,DBI,mvtec_bottle+cable+capsule+carpet,test,0,1.4838122414659314,0
image-level,DBI,mvtec_bottle+cable+capsule+carpet,test,1,1.7966231344098649,0
image-level,DBI,mvtec_bottle+cable+capsule+carpet,val,0,1.8080715571518091,0
image-level,DBI,mvtec_bottle+cable+capsule+carpet,train,0,1.8112444717913543,0
image-level,DBI,mvtec_bottle+cable+capsule,test,1,2.283002030414924,0
image-level,DBI,mvtec_bottle+cable+capsule,train,0,3.229054420427695,0
image-level,DBI,mvtec_bottle+cable+capsule,test,0,3.247399897330709,0
image-level,DBI,mvtec_bottle+cable+capsule,val,0,3.250364346000417,0
patch-level,MMD,mvtec_carpet,val,0,16.39965946830828,0
patch-level,MMD,mvtec_bottle+cable,test,0,16.464855374083996,0
patch-level,MMD,mvtec_cable,test,0,16.46489357695026,0
patch-level,MMD,mvtec_cable,test,1,16.475736269235785,0
patch-level,MMD,mvtec_carpet,test,0,16.488328319458336,0
patch-level,MMD,mvtec_bottle+cable,test,1,16.48850985162164,0
image-level,MMD,mvtec_bottle,val,0,16.51435329414917,0
patch-level,MMD,mvtec_cable,val,0,16.529206744227213,0
patch-level,MMD,mvtec_carpet,test,1,16.553846218031826,0
patch-level,MMD,mvtec_bottle+cable,train,0,16.563299513191932,0
patch-level,MMD,mvtec_cable,train,0,16.564962968373607,0
patch-level,MMD,mvtec_carpet,train,0,16.577928383093226,0
patch-level,MMD,mvtec_bottle+cable+capsule,test,0,16.685695128035515,0
patch-level,MMD,mvtec_bottle+cable+capsule,val,0,16.749028375715838,0
patch-level,MMD,mvtec_bottle+cable,val,0,16.76508225971871,0
patch-level,MMD,mvtec_bottle+cable+capsule+carpet,test,0,16.826043494303676,0
image-level,MMD,mvtec_cable,train,0,16.85199531873985,0
patch-level,MMD,mvtec_bottle+cable+capsule,train,0,16.88099658586404,0
image-level,MMD,mvtec_cable,val,0,16.884059709516812,0
patch-level,MMD,mvtec_bottle,test,0,16.892179697130928,0
image-level,MMD,mvtec_bottle,train,0,16.967420743836534,0
patch-level,MMD,mvtec_bottle,test,1,17.006103403637486,0
patch-level,MMD,mvtec_bottle+cable+capsule,test,1,17.040760202978685,0
patch-level,MMD,mvtec_bottle+cable+capsule+carpet,test,1,17.121459974897572,0
patch-level,MMD,mvtec_bottle,val,0,17.133651077032518,0
patch-level,MMD,mvtec_bottle,train,0,17.188002501907416,0
patch-level,MMD,mvtec_bottle+cable+capsule+carpet,val,0,17.202719150941245,0
image-level,MMD,mvtec_cable,test,1,17.236112471883594,0
image-level,MMD,mvtec_capsule,val,0,17.2630373998229,0
patch-level,MMD,mvtec_bottle+cable+capsule+carpet,train,0,17.431879735405563,0
image-level,MMD,mvtec_carpet,val,0,17.62419215611068,0
image-level,MMD,mvtec_carpet,train,0,17.68180248970664,0
image-level,MMD,mvtec_capsule,train,0,17.719862962573483,0
patch-level,MMD,mvtec_capsule,train,0,17.7207489248804,0
patch-level,MMD,mvtec_capsule,test,0,17.73658194675742,0
patch-level,MMD,mvtec_capsule,test,1,17.749211189037908,0
patch-level,MMD,mvtec_capsule,val,0,17.824627382827096,0
image-level,MMD,mvtec_capsule,test,1,17.94199474099379,0
image-level,MMD,mvtec_bottle,test,1,18.127979596281552,0
image-level,MMD,mvtec_cable,test,0,18.253990273799573,0
image-level,MMD,mvtec_carpet,test,1,18.794838148536343,0
image-level,MMD,mvtec_bottle,test,0,19.11812360966717,0
image-level,MMD,mvtec_capsule,test,0,19.372737305694127,0
image-level,MMD,mvtec_carpet,test,0,24.01676465112999,0
image-level,MMD,mvtec_bottle+cable,test,1,27.232938297018165,0
image-level,MMD,mvtec_bottle+cable+capsule+carpet,test,1,29.091203262891344,0
image-level,MMD,mvtec_bottle+cable,test,0,31.696700408493843,0
image-level,MMD,mvtec_bottle+cable+capsule+carpet,test,0,32.62825242642418,0
image-level,MMD,mvtec_bottle+cable+capsule,test,1,32.713539389852684,0
image-level,MMD,mvtec_bottle+cable+capsule+carpet,train,0,32.74425624736588,0
image-level,MMD,mvtec_bottle+cable+capsule+carpet,val,0,32.93458704221808,0
image-level,MMD,mvtec_bottle+cable+capsule,test,0,34.21102033301298,0
image-level,MMD,mvtec_bottle+cable+capsule,train,0,35.990108635427546,0
image-level,MMD,mvtec_bottle+cable,val,0,37.53060747806761,0
image-level,MMD,mvtec_bottle+cable+capsule,val,0,38.06231308206791,0
image-level,MMD,mvtec_bottle+cable,train,0,38.2569902712523,0
image-level,MSE,mvtec_capsule,val,0,2.361683989147423e-05,0
image-level,MSE,mvtec_capsule,train,0,2.495288776117377e-05,0
image-level,MSE,mvtec_capsule,test,0,2.5517385420243955e-05,0
image-level,MSE,mvtec_bottle,test,0,2.619185192816076e-05,0
image-level,MSE,mvtec_bottle,train,0,2.879151952220127e-05,0
